,Year,Sex,Fatal Y/N,Country,Type
339,2022,m,n,USA,UNPROVOKED
340,2022,m,n,USA,UNPROVOKED
341,2022,f,n,AUSTRALIA,UNPROVOKED
343,2022,m,n,AUSTRALIA,UNPROVOKED
344,2022,m,n,BELIZE,PROVOKED
345,2022,m,n,MALDIVES,UNPROVOKED
347,2022,m,n,USA,PROVOKED
348,2022,m,n,THAILAND,UNPROVOKED
349,2022,m,n,FRENCH POLYNESIA,UNPROVOKED
350,2022,m,n,AUSTRALIA,UNPROVOKED
351,2022,m,n,USA,UNPROVOKED
352,2022,m,n,USA,UNPROVOKED
353,2022,m,n,USA,UNPROVOKED
354,2022,f,n,USA,PROVOKED
355,2022,m,n,USA,UNPROVOKED
357,2022,m,n,USA,PROVOKED
358,2022,m,y,COLUMBIA,UNPROVOKED
359,2022,m,n,NEW ZEALAND,UNPROVOKED
360,2022,m,n,AUSTRALIA,UNPROVOKED
361,2022,m,n,AUSTRALIA,UNPROVOKED
362,2022,m,n,USA,UNPROVOKED
363,2022,m,n,USA,PROVOKED
364,2022,m,n,AUSTRALIA,UNPROVOKED
365,2022,m,y,USA,UNPROVOKED
366,2022,m,n,BAHAMAS,?
367,2022,m,n,AUSTRALIA,UNPROVOKED
368,2022,m,y,AUSTRALIA,UNPROVOKED
369,2022,m,y,MEXICO,UNPROVOKED
370,2022,m,n,USA,UNPROVOKED
371,2022,f,n,BAHAMAS,PROVOKED
373,2022,f,n,AUSTRALIA,UNPROVOKED
374,2022,m,n,AUSTRALIA,UNPROVOKED
375,2022,m,n,AUSTRALIA,UNPROVOKED
376,2022,m,n,SOUTH AFRICA,PROVOKED
377,2022,f,n,NEW ZEALAND,UNPROVOKED
378,2022,f,n,USA,UNPROVOKED
379,2022,f,n,AUSTRALIA,UNPROVOKED
380,2022,m,n,AUSTRALIA,UNPROVOKED
381,2021,f,n,NEW ZEALAND,UNPROVOKED
382,2021,m,y,USA,UNPROVOKED
383,2021,f,n,USA,UNPROVOKED
384,2021,m,n,AUSTRALIA,UNPROVOKED
385,2021,m,n,MEXICO,UNPROVOKED
386,2021,f,n,AUSTRALIA,UNPROVOKED
387,2021,m,n,AUSTRALIA,UNPROVOKED
388,2021,m,n,USA,UNPROVOKED
390,2021,f,n,USA,UNPROVOKED
391,2021,m,y,AUSTRALIA,UNPROVOKED
392,2021,m,n,BRAZIL,UNPROVOKED
393,2021,m,n,NEW ZEALAND,UNPROVOKED
395,2021,m,n,AUSTRALIA,UNPROVOKED
396,2021,m,n,USA,UNPROVOKED
397,2021,m,n,USA,UNPROVOKED
398,2021,m,n,USA,UNPROVOKED
400,2021,m,n,USA,UNPROVOKED
401,2021,m,y,AUSTRALIA,UNPROVOKED
402,2021,m,n,BRITISH OVERSEAS TERRITORY,UNPROVOKED
403,2021,m,n,USA,UNPROVOKED
404,2021,m,n,USA,UNPROVOKED
405,2021,m,n,USA,UNPROVOKED
406,2021,f,n,CANADA,UNPROVOKED
407,2021,m,n,AUSTRALIA,PROVOKED
408,2021,m,n,USA,UNPROVOKED
409,2021,m,n,USA,UNPROVOKED
410,2021,m,n,USA,UNPROVOKED
411,2021,f,n,USA,UNPROVOKED
412,2021,m,n,USA,PROVOKED
413,2021,m,n,USA,UNPROVOKED
414,2021,m,n,USA,UNPROVOKED
415,2021,m,n,AUSTRALIA,PROVOKED
416,2021,m,n,USA,UNPROVOKED
417,2021,m,n,BRAZIL,UNPROVOKED
418,2021,m,n,THAILAND,PROVOKED
419,2021,f,n,USA,UNPROVOKED
420,2021,f,n,USA,
421,2021,m,n,AUSTRALIA,UNPROVOKED
422,2021,m,n,USA,UNPROVOKED
423,2021,m,n,SOUTH AFRICA,UNPROVOKED
424,2021,m,n,BAHAMAS,PROVOKED
